SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_9,adm2_4,adm2_14,adm2_15,adm2_11,adm2_10,adm2_12,adm2_2,adm2_7,adm2_1,adm2_3,adm2_8,adm2_13,adm2_5,adm2_6
2897,5263,2,21,22,57,378,11.14,5.729999999999999,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2922,9078,2,27,11,54,183,12.93,7.179999999999998,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2923,10110,2,25,1,46,57,3.2700000000000005,3.6799999999999997,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2931,3600,2,36,9,84,175,9.34,6.84,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2953,4267,2,35,31,35,130,7.13,6.239999999999998,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3000,8086,2,28,6,644,123,7.799999999999998,5.72,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3004,9697,2,60,4,83,126,8.48,6.75,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3009,4102,2,25,19,53,109,7.4399999999999995,4.96,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3018,4747,2,63,6,84,158,7.699999999999999,5.11,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3092,1403,2,21,13,413,245,16.290000000000003,6.639999999999999,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3099,325,2,31,10,86,200,7.8500000000000005,5.079999999999998,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3117,6650,1,53,27,181,162,7.710000000000001,7.279999999999998,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3122,10060,1,26,19,1758,249,14.309999999999999,9.819999999999999,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3127,1912,2,45,30,50,134,5.9799999999999995,5.549999999999998,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3135,4304,1,28,16,295,231,13.019999999999998,10.58,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3144,10060,2,50,19,1702,134,8.989999999999998,4.819999999999999,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3149,5263,2,55,22,73,380,11.29,5.869999999999999,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
