SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
8028,8951,1,45,8,16,189,13.68,10.549999999999999,2.2698,0,8,0,0,0,1,0,0,0,0,0
8067,8277,1,32,8,24,148,13.53,10.000000000000002,0,0,1,0,0,1,0,0,0,0,0,0
8068,4612,1,35,20,4,170,20.919999999999995,14.08,0.7748999999999999,0,4,0,0,0,0,0,0,0,1,0
8070,4725,1,35,8,127,270,13.95,9.77,0,0,1,0,0,1,0,0,0,0,0,0
8078,4194,1,65,19,3,173,16.459999999999997,11.1,0.675,0,9,1,0,0,0,0,0,0,0,0
8110,6309,1,26,20,1,74,9.53,6.29,0.7416000000000001,0,5,0,0,0,0,1,0,0,0,0
8153,8755,1,60,8,30,106,10.6,8.029999999999998,0.4320000000000001,0,4,0,0,0,0,0,0,0,1,0
8209,817,1,58,11,70,211,12.45,10.17,2.125,0,3,0,1,0,0,0,0,0,0,0
8250,8853,1,19,6,13,99,11.959999999999999,11.089999999999996,2.4633000000000003,0,1,0,0,1,0,0,0,0,0,0
8331,6176,1,38,25,13,169,20.11,13.759999999999998,0.36180000000000007,0,7,0,0,0,0,0,1,0,0,0
8332,9765,1,42,5,22,176,15.200000000000001,10.809999999999997,0.3114,0,5,0,0,0,0,1,0,0,0,0
8360,9675,1,32,19,2,313,26.470000000000002,17.770000000000003,0,0,9,1,0,0,0,0,0,0,0,0
8442,707,1,56,4,6,107,8.55,6.14,0,0,3,0,1,0,0,0,0,0,0,0
