SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_4,adm2_3,adm2_5,adm2_7,adm2_6,adm2_11,adm2_10,adm2_8,adm2_1,adm2_9
6717,7817,1,35,24,2226,0,2,1,0,0,0,0,0,0,0,0,0,0
6766,2522,1,45,19,2310,0,11,0,0,0,0,0,0,1,0,0,0,0
6800,5946,1,22,5,2184,0,2,1,0,0,0,0,0,0,0,0,0,0
6903,6345,1,46,18,2067,0,11,0,0,0,0,0,0,1,0,0,0,0
6956,2571,1,65,25,2255,0,8,0,0,0,0,0,0,0,0,1,0,0
7027,867,1,30,8,2315,0,3,0,0,1,0,0,0,0,0,0,0,0
7041,1824,1,62,29,2018,0,4,0,1,0,0,0,0,0,0,0,0,0
7045,6429,1,48,2,1911,0,9,0,0,0,0,0,0,0,0,0,0,1
7058,2384,1,80,28,1668,0,1,0,0,0,0,0,0,0,0,0,1,0
7112,7641,1,55,1,2095,1,6,0,0,0,0,0,1,0,0,0,0,0
7114,6231,1,31,3,2687,0,10,0,0,0,0,0,0,0,1,0,0,0
7167,365,1,66,22,2102,0,2,1,0,0,0,0,0,0,0,0,0,0
7339,1971,1,32,4,2201,0,10,0,0,0,0,0,0,0,1,0,0,0
7340,1223,1,40,11,2349,0,9,0,0,0,0,0,0,0,0,0,0,1
7344,8551,1,42,25,1798,0,6,0,0,0,0,0,1,0,0,0,0,0
7420,3680,1,40,15,2856,0,1,0,0,0,0,0,0,0,0,0,1,0
7452,1416,1,35,20,2480,0,7,0,0,0,0,1,0,0,0,0,0,0
7506,11755,1,45,7,2392,1,10,0,0,0,0,0,0,0,1,0,0,0
7517,6963,1,45,19,1922,0,11,0,0,0,0,0,0,1,0,0,0,0
7605,1176,1,32,17,1982,0,4,0,1,0,0,0,0,0,0,0,0,0
